"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2003",5.92842,
"AUS","HUR","TOT","PC_LF","A","2004",5.396734,
"AUS","HUR","TOT","PC_LF","A","2005",5.033881,
"AUS","HUR","TOT","PC_LF","A","2006",4.78524,
"AUS","HUR","TOT","PC_LF","A","2007",4.379151,
"AUS","HUR","TOT","PC_LF","A","2008",4.23433,
"AUS","HUR","TOT","PC_LF","A","2009",5.560385,
"AUS","HUR","TOT","PC_LF","A","2010",5.21334,
"AUS","HUR","TOT","PC_LF","A","2011",5.081195,
"AUS","HUR","TOT","PC_LF","A","2012",5.223376,
"AUS","HUR","TOT","PC_LF","A","2013",5.66194,
"AUS","HUR","TOT","PC_LF","A","2014",6.077244,
"AUS","HUR","TOT","PC_LF","A","2015",6.056423,
"AUS","HUR","TOT","PC_LF","A","2016",5.710301,
"AUS","HUR","TOT","PC_LF","A","2017",5.59376,
"AUS","HUR","TOT","PC_LF","A","2018",5.299855,
"AUS","HUR","TOT","PC_LF","A","2019",5.158916,
"AUS","HUR","TOT","PC_LF","A","2020",6.461822,
"AUT","HUR","TOT","PC_LF","A","1993",3.958333,
"AUT","HUR","TOT","PC_LF","A","1994",4.241667,
"AUT","HUR","TOT","PC_LF","A","1995",4.241667,
"AUT","HUR","TOT","PC_LF","A","1996",4.733333,
"AUT","HUR","TOT","PC_LF","A","1997",4.733333,
"AUT","HUR","TOT","PC_LF","A","1998",4.725,
"AUT","HUR","TOT","PC_LF","A","1999",4.15,
"AUT","HUR","TOT","PC_LF","A","2000",3.933333,
"AUT","HUR","TOT","PC_LF","A","2001",3.983333,
"AUT","HUR","TOT","PC_LF","A","2002",4.383333,
"AUT","HUR","TOT","PC_LF","A","2003",4.758333,"B"
"AUT","HUR","TOT","PC_LF","A","2004",5.891667,"P"
"AUT","HUR","TOT","PC_LF","A","2005",6.033333,"P"
"AUT","HUR","TOT","PC_LF","A","2006",5.641667,"P"
"AUT","HUR","TOT","PC_LF","A","2007",5.216667,"P"
"AUT","HUR","TOT","PC_LF","A","2008",4.441667,"P"
"AUT","HUR","TOT","PC_LF","A","2009",5.666667,"P"
"AUT","HUR","TOT","PC_LF","A","2010",5.191667,"P"
"AUT","HUR","TOT","PC_LF","A","2011",4.9,"P"
"AUT","HUR","TOT","PC_LF","A","2012",5.191667,"P"
"AUT","HUR","TOT","PC_LF","A","2013",5.725,"P"
"AUT","HUR","TOT","PC_LF","A","2014",6.033333,"P"
"AUT","HUR","TOT","PC_LF","A","2015",6.15,"P"
"AUT","HUR","TOT","PC_LF","A","2016",6.45,"P"
"AUT","HUR","TOT","PC_LF","A","2017",5.925,"P"
"AUT","HUR","TOT","PC_LF","A","2018",5.208333,"P"
"AUT","HUR","TOT","PC_LF","A","2019",4.841667,"P"
"AUT","HUR","TOT","PC_LF","A","2020",6.025,"P"
"BEL","HUR","TOT","PC_LF","A","1983",10.74167,
"BEL","HUR","TOT","PC_LF","A","1984",10.8,
"BEL","HUR","TOT","PC_LF","A","1985",10.10833,
"BEL","HUR","TOT","PC_LF","A","1986",10.03333,
"BEL","HUR","TOT","PC_LF","A","1987",9.8,
"BEL","HUR","TOT","PC_LF","A","1988",8.8,
"BEL","HUR","TOT","PC_LF","A","1989",7.383333,
"BEL","HUR","TOT","PC_LF","A","1990",6.55,
"BEL","HUR","TOT","PC_LF","A","1991",6.441667,
"BEL","HUR","TOT","PC_LF","A","1992",7.091667,
"BEL","HUR","TOT","PC_LF","A","1993",8.625,
"BEL","HUR","TOT","PC_LF","A","1994",9.75,
"BEL","HUR","TOT","PC_LF","A","1995",9.675,
"BEL","HUR","TOT","PC_LF","A","1996",9.541667,
"BEL","HUR","TOT","PC_LF","A","1997",9.216666,
"BEL","HUR","TOT","PC_LF","A","1998",9.341666,
"BEL","HUR","TOT","PC_LF","A","1999",8.4,
"BEL","HUR","TOT","PC_LF","A","2000",6.875,
"BEL","HUR","TOT","PC_LF","A","2001",6.591667,
"BEL","HUR","TOT","PC_LF","A","2002",7.525,
"BEL","HUR","TOT","PC_LF","A","2003",8.175,
"BEL","HUR","TOT","PC_LF","A","2004",8.391666,
"BEL","HUR","TOT","PC_LF","A","2005",8.433333,
"BEL","HUR","TOT","PC_LF","A","2006",8.25,
"BEL","HUR","TOT","PC_LF","A","2007",7.483333,
"BEL","HUR","TOT","PC_LF","A","2008",6.975,
"BEL","HUR","TOT","PC_LF","A","2009",7.891667,
"BEL","HUR","TOT","PC_LF","A","2010",8.316667,
"BEL","HUR","TOT","PC_LF","A","2011",7.166667,
"BEL","HUR","TOT","PC_LF","A","2012",7.566667,
"BEL","HUR","TOT","PC_LF","A","2013",8.45,
"BEL","HUR","TOT","PC_LF","A","2014",8.533334,
"BEL","HUR","TOT","PC_LF","A","2015",8.5,
"BEL","HUR","TOT","PC_LF","A","2016",7.858333,"B"
"BEL","HUR","TOT","PC_LF","A","2017",7.1,
"BEL","HUR","TOT","PC_LF","A","2018",5.958333,
"BEL","HUR","TOT","PC_LF","A","2019",5.366667,
"BEL","HUR","TOT","PC_LF","A","2020",5.541667,"B"
"CAN","HUR","TOT","PC_LF","A","1955",4.408333,
"CAN","HUR","TOT","PC_LF","A","1956",3.433333,
"CAN","HUR","TOT","PC_LF","A","1957",4.65,
"CAN","HUR","TOT","PC_LF","A","1958",7.066667,
"CAN","HUR","TOT","PC_LF","A","1959",5.991667,
"CAN","HUR","TOT","PC_LF","A","1960",6.991667,
"CAN","HUR","TOT","PC_LF","A","1961",7.183333,
"CAN","HUR","TOT","PC_LF","A","1962",5.958333,
"CAN","HUR","TOT","PC_LF","A","1963",5.583333,
"CAN","HUR","TOT","PC_LF","A","1964",4.708333,
"CAN","HUR","TOT","PC_LF","A","1965",3.95,
"CAN","HUR","TOT","PC_LF","A","1966",3.375,
"CAN","HUR","TOT","PC_LF","A","1967",3.833333,
"CAN","HUR","TOT","PC_LF","A","1968",4.525,
"CAN","HUR","TOT","PC_LF","A","1969",4.425,
"CAN","HUR","TOT","PC_LF","A","1970",5.675,
"CAN","HUR","TOT","PC_LF","A","1971",6.2,
"CAN","HUR","TOT","PC_LF","A","1972",6.233333,
"CAN","HUR","TOT","PC_LF","A","1973",5.566667,
"CAN","HUR","TOT","PC_LF","A","1974",5.333333,
"CAN","HUR","TOT","PC_LF","A","1975",6.916667,"B"
"CAN","HUR","TOT","PC_LF","A","1976",7.083333,
"CAN","HUR","TOT","PC_LF","A","1977",8.058333,
"CAN","HUR","TOT","PC_LF","A","1978",8.383333,
"CAN","HUR","TOT","PC_LF","A","1979",7.55,
"CAN","HUR","TOT","PC_LF","A","1980",7.55,
"CAN","HUR","TOT","PC_LF","A","1981",7.633333,
"CAN","HUR","TOT","PC_LF","A","1982",11.03333,
"CAN","HUR","TOT","PC_LF","A","1983",12.03333,
"CAN","HUR","TOT","PC_LF","A","1984",11.35,
"CAN","HUR","TOT","PC_LF","A","1985",10.51667,
"CAN","HUR","TOT","PC_LF","A","1986",9.6,
"CAN","HUR","TOT","PC_LF","A","1987",8.833333,
"CAN","HUR","TOT","PC_LF","A","1988",7.766667,
"CAN","HUR","TOT","PC_LF","A","1989",7.566667,
"CAN","HUR","TOT","PC_LF","A","1990",8.15,
"CAN","HUR","TOT","PC_LF","A","1991",10.325,
"CAN","HUR","TOT","PC_LF","A","1992",11.19167,
"CAN","HUR","TOT","PC_LF","A","1993",11.4,
"CAN","HUR","TOT","PC_LF","A","1994",10.41667,
"CAN","HUR","TOT","PC_LF","A","1995",9.508333,
"CAN","HUR","TOT","PC_LF","A","1996",9.608334,
"CAN","HUR","TOT","PC_LF","A","1997",9.116667,
"CAN","HUR","TOT","PC_LF","A","1998",8.283334,
"CAN","HUR","TOT","PC_LF","A","1999",7.591667,
"CAN","HUR","TOT","PC_LF","A","2000",6.816667,
"CAN","HUR","TOT","PC_LF","A","2001",7.216667,
"CAN","HUR","TOT","PC_LF","A","2002",7.675,
"CAN","HUR","TOT","PC_LF","A","2003",7.575,
"CAN","HUR","TOT","PC_LF","A","2004",7.191667,
"CAN","HUR","TOT","PC_LF","A","2005",6.758333,
"CAN","HUR","TOT","PC_LF","A","2006",6.35,
"CAN","HUR","TOT","PC_LF","A","2007",6.066667,
"CAN","HUR","TOT","PC_LF","A","2008",6.175,
"CAN","HUR","TOT","PC_LF","A","2009",8.375,
"CAN","HUR","TOT","PC_LF","A","2010",8.116667,
"CAN","HUR","TOT","PC_LF","A","2011",7.558333,
"CAN","HUR","TOT","PC_LF","A","2012",7.333333,
"CAN","HUR","TOT","PC_LF","A","2013",7.125,
"CAN","HUR","TOT","PC_LF","A","2014",6.941667,
"CAN","HUR","TOT","PC_LF","A","2015",6.941667,
"CAN","HUR","TOT","PC_LF","A","2016",7.05,
"CAN","HUR","TOT","PC_LF","A","2017",6.4,
"CAN","HUR","TOT","PC_LF","A","2018",5.891667,
"CAN","HUR","TOT","PC_LF","A","2019",5.733333,
"CAN","HUR","TOT","PC_LF","A","2020",9.558333,
"CAN","HUR","TOT","PC_LF","A","2021",7.466667,
"CZE","HUR","TOT","PC_LF","A","1993",4.308333,
"CZE","HUR","TOT","PC_LF","A","1994",4.291667,
"CZE","HUR","TOT","PC_LF","A","1995",4.008333,
"CZE","HUR","TOT","PC_LF","A","1996",3.891667,
"CZE","HUR","TOT","PC_LF","A","1997",4.775,
"CZE","HUR","TOT","PC_LF","A","1998",6.466667,
"CZE","HUR","TOT","PC_LF","A","1999",8.7,
"CZE","HUR","TOT","PC_LF","A","2000",8.775,
"CZE","HUR","TOT","PC_LF","A","2001",8.125,
"CZE","HUR","TOT","PC_LF","A","2002",7.291667,
"CZE","HUR","TOT","PC_LF","A","2003",7.775,
"CZE","HUR","TOT","PC_LF","A","2004",8.291667,
"CZE","HUR","TOT","PC_LF","A","2005",7.941667,
"CZE","HUR","TOT","PC_LF","A","2006",7.133333,
"CZE","HUR","TOT","PC_LF","A","2007",5.325,
"CZE","HUR","TOT","PC_LF","A","2008",4.408333,
"CZE","HUR","TOT","PC_LF","A","2009",6.683333,
"CZE","HUR","TOT","PC_LF","A","2010",7.291667,
"CZE","HUR","TOT","PC_LF","A","2011",6.716667,
"CZE","HUR","TOT","PC_LF","A","2012",6.975,
"CZE","HUR","TOT","PC_LF","A","2013",6.966667,
"CZE","HUR","TOT","PC_LF","A","2014",6.116667,
"CZE","HUR","TOT","PC_LF","A","2015",5.058333,
"CZE","HUR","TOT","PC_LF","A","2016",3.966667,
"CZE","HUR","TOT","PC_LF","A","2017",2.908333,
"CZE","HUR","TOT","PC_LF","A","2018",2.266667,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"CZE","HUR","TOT","PC_LF","A","2020",2.55,
"DNK","HUR","TOT","PC_LF","A","1983",8.366667,
"DNK","HUR","TOT","PC_LF","A","1984",7.916667,
"DNK","HUR","TOT","PC_LF","A","1985",6.658333,
"DNK","HUR","TOT","PC_LF","A","1986",4.991667,
"DNK","HUR","TOT","PC_LF","A","1987",5.033333,
"DNK","HUR","TOT","PC_LF","A","1988",5.658333,
"DNK","HUR","TOT","PC_LF","A","1989",6.816667,
"DNK","HUR","TOT","PC_LF","A","1990",7.175,
"DNK","HUR","TOT","PC_LF","A","1991",7.85,
"DNK","HUR","TOT","PC_LF","A","1992",8.6,
"DNK","HUR","TOT","PC_LF","A","1993",9.55,
"DNK","HUR","TOT","PC_LF","A","1994",7.7,
"DNK","HUR","TOT","PC_LF","A","1995",6.716667,
"DNK","HUR","TOT","PC_LF","A","1996",6.333333,
"DNK","HUR","TOT","PC_LF","A","1997",5.241667,
"DNK","HUR","TOT","PC_LF","A","1998",4.866667,
"DNK","HUR","TOT","PC_LF","A","1999",5.166667,
"DNK","HUR","TOT","PC_LF","A","2000",4.325,
"DNK","HUR","TOT","PC_LF","A","2001",4.525,
"DNK","HUR","TOT","PC_LF","A","2002",4.583333,
"DNK","HUR","TOT","PC_LF","A","2003",5.408333,
"DNK","HUR","TOT","PC_LF","A","2004",5.5,
"DNK","HUR","TOT","PC_LF","A","2005",4.841667,
"DNK","HUR","TOT","PC_LF","A","2006",3.908333,
"DNK","HUR","TOT","PC_LF","A","2007",3.75,
"DNK","HUR","TOT","PC_LF","A","2008",3.708333,
"DNK","HUR","TOT","PC_LF","A","2009",6.408333,
"DNK","HUR","TOT","PC_LF","A","2010",7.766667,
"DNK","HUR","TOT","PC_LF","A","2011",7.758333,
"DNK","HUR","TOT","PC_LF","A","2012",7.8,
"DNK","HUR","TOT","PC_LF","A","2013",7.391667,
"DNK","HUR","TOT","PC_LF","A","2014",6.883333,
"DNK","HUR","TOT","PC_LF","A","2015",6.3,
"DNK","HUR","TOT","PC_LF","A","2016",6.008333,
"DNK","HUR","TOT","PC_LF","A","2017",5.816667,
"DNK","HUR","TOT","PC_LF","A","2018",5.116667,
"DNK","HUR","TOT","PC_LF","A","2019",5.058333,
"DNK","HUR","TOT","PC_LF","A","2020",5.65,
"FIN","HUR","TOT","PC_LF","A","1988",4.208333,
"FIN","HUR","TOT","PC_LF","A","1989",3.108333,
"FIN","HUR","TOT","PC_LF","A","1990",3.166667,
"FIN","HUR","TOT","PC_LF","A","1991",6.608333,
"FIN","HUR","TOT","PC_LF","A","1992",11.70833,
"FIN","HUR","TOT","PC_LF","A","1993",16.34167,
"FIN","HUR","TOT","PC_LF","A","1994",16.58333,
"FIN","HUR","TOT","PC_LF","A","1995",15.4,
"FIN","HUR","TOT","PC_LF","A","1996",14.56667,
"FIN","HUR","TOT","PC_LF","A","1997",12.64167,
"FIN","HUR","TOT","PC_LF","A","1998",11.35833,
"FIN","HUR","TOT","PC_LF","A","1999",10.21667,
"FIN","HUR","TOT","PC_LF","A","2000",9.783334,
"FIN","HUR","TOT","PC_LF","A","2001",9.125,
"FIN","HUR","TOT","PC_LF","A","2002",9.075,
"FIN","HUR","TOT","PC_LF","A","2003",9.008333,
"FIN","HUR","TOT","PC_LF","A","2004",8.825,
"FIN","HUR","TOT","PC_LF","A","2005",8.4,
"FIN","HUR","TOT","PC_LF","A","2006",7.716667,
"FIN","HUR","TOT","PC_LF","A","2007",6.866667,
"FIN","HUR","TOT","PC_LF","A","2008",6.366667,"B"
"FIN","HUR","TOT","PC_LF","A","2009",8.366667,
"FIN","HUR","TOT","PC_LF","A","2010",8.541667,
"FIN","HUR","TOT","PC_LF","A","2011",7.966667,
"FIN","HUR","TOT","PC_LF","A","2012",7.808333,
"FIN","HUR","TOT","PC_LF","A","2013",8.3,
"FIN","HUR","TOT","PC_LF","A","2014",8.75,
"FIN","HUR","TOT","PC_LF","A","2015",9.458333,
"FIN","HUR","TOT","PC_LF","A","2016",8.916667,
"FIN","HUR","TOT","PC_LF","A","2017",8.766666,
"FIN","HUR","TOT","PC_LF","A","2018",7.433333,
"FIN","HUR","TOT","PC_LF","A","2019",6.741667,
"FIN","HUR","TOT","PC_LF","A","2020",7.725,
"FRA","HUR","TOT","PC_LF","A","1983",8.758333,
"FRA","HUR","TOT","PC_LF","A","1984",10.05,
"FRA","HUR","TOT","PC_LF","A","1985",10.38333,
"FRA","HUR","TOT","PC_LF","A","1986",10.55,
"FRA","HUR","TOT","PC_LF","A","1987",10.65,
"FRA","HUR","TOT","PC_LF","A","1988",10.06667,
"FRA","HUR","TOT","PC_LF","A","1989",9.675,
"FRA","HUR","TOT","PC_LF","A","1990",9.366667,
"FRA","HUR","TOT","PC_LF","A","1991",9.625,
"FRA","HUR","TOT","PC_LF","A","1992",10.64167,
"FRA","HUR","TOT","PC_LF","A","1993",11.825,
"FRA","HUR","TOT","PC_LF","A","1994",12.275,
"FRA","HUR","TOT","PC_LF","A","1995",11.95,
"FRA","HUR","TOT","PC_LF","A","1996",12.4,
"FRA","HUR","TOT","PC_LF","A","1997",12.33333,
"FRA","HUR","TOT","PC_LF","A","1998",12.05,
"FRA","HUR","TOT","PC_LF","A","1999",11.31667,
"FRA","HUR","TOT","PC_LF","A","2000",9.558333,
"FRA","HUR","TOT","PC_LF","A","2001",8.741667,
"FRA","HUR","TOT","PC_LF","A","2002",8.633333,
"FRA","HUR","TOT","PC_LF","A","2003",8.508333,
"FRA","HUR","TOT","PC_LF","A","2004",8.9,
"FRA","HUR","TOT","PC_LF","A","2005",8.883333,
"FRA","HUR","TOT","PC_LF","A","2006",8.85,
"FRA","HUR","TOT","PC_LF","A","2007",8.016666,
"FRA","HUR","TOT","PC_LF","A","2008",7.433333,
"FRA","HUR","TOT","PC_LF","A","2009",9.116667,
"FRA","HUR","TOT","PC_LF","A","2010",9.275,
"FRA","HUR","TOT","PC_LF","A","2011",9.216666,
"FRA","HUR","TOT","PC_LF","A","2012",9.758333,
"FRA","HUR","TOT","PC_LF","A","2013",10.3,
"FRA","HUR","TOT","PC_LF","A","2014",10.275,
"FRA","HUR","TOT","PC_LF","A","2015",10.35,
"FRA","HUR","TOT","PC_LF","A","2016",10.06667,
"FRA","HUR","TOT","PC_LF","A","2017",9.425,
"FRA","HUR","TOT","PC_LF","A","2018",9.025,
"FRA","HUR","TOT","PC_LF","A","2019",8.433333,
"FRA","HUR","TOT","PC_LF","A","2020",8.033334,
"DEU","HUR","TOT","PC_LF","A","1991",5.525,
"DEU","HUR","TOT","PC_LF","A","1992",6.566667,
"DEU","HUR","TOT","PC_LF","A","1993",7.791667,
"DEU","HUR","TOT","PC_LF","A","1994",8.45,
"DEU","HUR","TOT","PC_LF","A","1995",8.25,
"DEU","HUR","TOT","PC_LF","A","1996",8.941667,
"DEU","HUR","TOT","PC_LF","A","1997",9.675,
"DEU","HUR","TOT","PC_LF","A","1998",9.45,
"DEU","HUR","TOT","PC_LF","A","1999",8.625,
"DEU","HUR","TOT","PC_LF","A","2000",8.008333,
"DEU","HUR","TOT","PC_LF","A","2001",7.858333,
"DEU","HUR","TOT","PC_LF","A","2002",8.683333,
"DEU","HUR","TOT","PC_LF","A","2003",9.808333,
"DEU","HUR","TOT","PC_LF","A","2004",10.5,
"DEU","HUR","TOT","PC_LF","A","2005",11.28333,
"DEU","HUR","TOT","PC_LF","A","2006",10.275,
"DEU","HUR","TOT","PC_LF","A","2007",8.541667,
"DEU","HUR","TOT","PC_LF","A","2008",7.425,
"DEU","HUR","TOT","PC_LF","A","2009",7.641667,
"DEU","HUR","TOT","PC_LF","A","2010",6.966667,
"DEU","HUR","TOT","PC_LF","A","2011",5.833333,
"DEU","HUR","TOT","PC_LF","A","2012",5.383333,
"DEU","HUR","TOT","PC_LF","A","2013",5.241667,
"DEU","HUR","TOT","PC_LF","A","2014",4.991667,
"DEU","HUR","TOT","PC_LF","A","2015",4.633333,
"DEU","HUR","TOT","PC_LF","A","2016",4.133333,
"DEU","HUR","TOT","PC_LF","A","2017",3.758333,
"DEU","HUR","TOT","PC_LF","A","2018",3.4,
"DEU","HUR","TOT","PC_LF","A","2019",3.15,
"DEU","HUR","TOT","PC_LF","A","2020",3.833333,"B"
"GRC","HUR","TOT","PC_LF","A","1999",11.98333,
"GRC","HUR","TOT","PC_LF","A","2000",11.23333,
"GRC","HUR","TOT","PC_LF","A","2001",10.675,
"GRC","HUR","TOT","PC_LF","A","2002",10.33333,
"GRC","HUR","TOT","PC_LF","A","2003",9.741667,
"GRC","HUR","TOT","PC_LF","A","2004",10.60833,
"GRC","HUR","TOT","PC_LF","A","2005",10.00833,
"GRC","HUR","TOT","PC_LF","A","2006",9.033334,
"GRC","HUR","TOT","PC_LF","A","2007",8.416667,
"GRC","HUR","TOT","PC_LF","A","2008",7.766667,
"GRC","HUR","TOT","PC_LF","A","2009",9.625,
"GRC","HUR","TOT","PC_LF","A","2010",12.75,
"GRC","HUR","TOT","PC_LF","A","2011",17.91667,
"GRC","HUR","TOT","PC_LF","A","2012",24.49167,
"GRC","HUR","TOT","PC_LF","A","2013",27.49167,
"GRC","HUR","TOT","PC_LF","A","2014",26.55,
"GRC","HUR","TOT","PC_LF","A","2015",24.95833,
"GRC","HUR","TOT","PC_LF","A","2016",23.56667,
"GRC","HUR","TOT","PC_LF","A","2017",21.53333,
"GRC","HUR","TOT","PC_LF","A","2018",19.30833,
"GRC","HUR","TOT","PC_LF","A","2019",17.33333,
"GRC","HUR","TOT","PC_LF","A","2020",16.44167,"B"
"HUN","HUR","TOT","PC_LF","A","1996",9.916667,
"HUN","HUR","TOT","PC_LF","A","1997",9.05,
"HUN","HUR","TOT","PC_LF","A","1998",8.708333,
"HUN","HUR","TOT","PC_LF","A","1999",6.866667,
"HUN","HUR","TOT","PC_LF","A","2000",6.266667,
"HUN","HUR","TOT","PC_LF","A","2001",5.575,
"HUN","HUR","TOT","PC_LF","A","2002",5.583333,
"HUN","HUR","TOT","PC_LF","A","2003",5.741667,
"HUN","HUR","TOT","PC_LF","A","2004",6.066667,
"HUN","HUR","TOT","PC_LF","A","2005",7.175,
"HUN","HUR","TOT","PC_LF","A","2006",7.458333,
"HUN","HUR","TOT","PC_LF","A","2007",7.391667,
"HUN","HUR","TOT","PC_LF","A","2008",7.8,"B"
"HUN","HUR","TOT","PC_LF","A","2009",9.675,
"HUN","HUR","TOT","PC_LF","A","2010",10.8,
"HUN","HUR","TOT","PC_LF","A","2011",10.66667,
"HUN","HUR","TOT","PC_LF","A","2012",10.675,
"HUN","HUR","TOT","PC_LF","A","2013",9.85,
"HUN","HUR","TOT","PC_LF","A","2014",7.5,
"HUN","HUR","TOT","PC_LF","A","2015",6.633333,
"HUN","HUR","TOT","PC_LF","A","2016",4.975,
"HUN","HUR","TOT","PC_LF","A","2017",4.05,
"HUN","HUR","TOT","PC_LF","A","2018",3.591667,
"HUN","HUR","TOT","PC_LF","A","2019",3.3,
"HUN","HUR","TOT","PC_LF","A","2020",4.125,
"ISL","HUR","TOT","PC_LF","A","2003",3.516667,
"ISL","HUR","TOT","PC_LF","A","2004",3.408333,
"ISL","HUR","TOT","PC_LF","A","2005",2.883333,
"ISL","HUR","TOT","PC_LF","A","2006",3.208333,
"ISL","HUR","TOT","PC_LF","A","2007",2.475,
"ISL","HUR","TOT","PC_LF","A","2008",3.333333,
"ISL","HUR","TOT","PC_LF","A","2009",8.016666,
"ISL","HUR","TOT","PC_LF","A","2010",8.3,
"ISL","HUR","TOT","PC_LF","A","2011",7.675,
"ISL","HUR","TOT","PC_LF","A","2012",6.633333,
"ISL","HUR","TOT","PC_LF","A","2013",5.841667,
"ISL","HUR","TOT","PC_LF","A","2014",5.408333,
"ISL","HUR","TOT","PC_LF","A","2015",4.508333,
"ISL","HUR","TOT","PC_LF","A","2016",3.341667,
"ISL","HUR","TOT","PC_LF","A","2017",3.283333,
"ISL","HUR","TOT","PC_LF","A","2018",3.1,
"ISL","HUR","TOT","PC_LF","A","2019",3.933333,
"ISL","HUR","TOT","PC_LF","A","2020",6.433333,
"IRL","HUR","TOT","PC_LF","A","1983",13.90833,
"IRL","HUR","TOT","PC_LF","A","1984",15.5,
"IRL","HUR","TOT","PC_LF","A","1985",16.81667,
"IRL","HUR","TOT","PC_LF","A","1986",16.83333,
"IRL","HUR","TOT","PC_LF","A","1987",16.625,
"IRL","HUR","TOT","PC_LF","A","1988",16.225,
"IRL","HUR","TOT","PC_LF","A","1989",14.73333,
"IRL","HUR","TOT","PC_LF","A","1990",13.45,
"IRL","HUR","TOT","PC_LF","A","1991",14.75833,
"IRL","HUR","TOT","PC_LF","A","1992",15.39167,
"IRL","HUR","TOT","PC_LF","A","1993",15.64167,
"IRL","HUR","TOT","PC_LF","A","1994",14.34167,
"IRL","HUR","TOT","PC_LF","A","1995",12.29167,
"IRL","HUR","TOT","PC_LF","A","1996",11.66667,
"IRL","HUR","TOT","PC_LF","A","1997",9.875,
"IRL","HUR","TOT","PC_LF","A","1998",7.55,
"IRL","HUR","TOT","PC_LF","A","1999",5.916667,
"IRL","HUR","TOT","PC_LF","A","2000",4.4,
"IRL","HUR","TOT","PC_LF","A","2001",4.175,
"IRL","HUR","TOT","PC_LF","A","2002",4.725,
"IRL","HUR","TOT","PC_LF","A","2003",4.85,
"IRL","HUR","TOT","PC_LF","A","2004",4.741667,
"IRL","HUR","TOT","PC_LF","A","2005",4.633333,
"IRL","HUR","TOT","PC_LF","A","2006",4.791667,
"IRL","HUR","TOT","PC_LF","A","2007",5,
"IRL","HUR","TOT","PC_LF","A","2008",6.791667,
"IRL","HUR","TOT","PC_LF","A","2009",12.65833,
"IRL","HUR","TOT","PC_LF","A","2010",14.575,
"IRL","HUR","TOT","PC_LF","A","2011",15.40833,
"IRL","HUR","TOT","PC_LF","A","2012",15.48333,
"IRL","HUR","TOT","PC_LF","A","2013",13.775,
"IRL","HUR","TOT","PC_LF","A","2014",11.88333,
"IRL","HUR","TOT","PC_LF","A","2015",9.925,
"IRL","HUR","TOT","PC_LF","A","2016",8.408334,
"IRL","HUR","TOT","PC_LF","A","2017",6.733333,
"IRL","HUR","TOT","PC_LF","A","2018",5.775,
"IRL","HUR","TOT","PC_LF","A","2019",4.975,
"IRL","HUR","TOT","PC_LF","A","2020",5.85,
"ITA","HUR","TOT","PC_LF","A","1983",7.366667,"P"
"ITA","HUR","TOT","PC_LF","A","1984",7.833333,"P"
"ITA","HUR","TOT","PC_LF","A","1985",8.141666,"P"
"ITA","HUR","TOT","PC_LF","A","1986",8.883333,"P"
"ITA","HUR","TOT","PC_LF","A","1987",9.633333,"P"
"ITA","HUR","TOT","PC_LF","A","1988",9.7,"P"
"ITA","HUR","TOT","PC_LF","A","1989",9.7,"P"
"ITA","HUR","TOT","PC_LF","A","1990",8.866667,"P"
